Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
mvno-20210518153637889300000001/121709da835b6d97,bosswireless-prod-mvno-plan-store-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210518153637890500000002/0030c85c654b6735,bosswireless-prod-mvno-plan-store-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmvn20230830111228807300000002/5009c867c2ba6acd,bosswireless-prod-brmvno-next-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210504130205201700000001/ddaeba64778d5799,bosswireless-uat-mvno-plan-store-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
spiff20210510081451226900000001/b2b9e2621f9bcd77,bosswireless-uat-spiffy-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
spiff20210524095332604400000001/91b2e05c73b96b4e,bosswireless-prod-spiffy-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
bosswireless-prod-down-00,bosswireless-prod-down-00,CloudWatch,Alarm,us-east-1,13,team_boss_wireless
bosswireless-uat-utils-up-00,bosswireless-uat-utils-up-00,CloudWatch,Alarm,us-east-1,13,team_boss_wireless
i-07fe873d1378cc172,bosswireless-prod,EC2,Instance,us-east-1,17,team_boss_wireless
sg-0f955d01a818c0a13,bosswireless-prod-ecs-access,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-082251f63d4cc2243,bosswireless-uat-ecs-lb-private,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-0b29965ff3f38a4fc,bosswireless-prod-ecs-ec2,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
vol-056cebd4b0e3eaab0,bosswireless-uat,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0222acf2dad6fd405,bosswireless-uat,EC2,Volume,us-east-1,13,team_boss_wireless
vol-06391ebc5da493854,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0bef9cb32d2761353,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0db69439470f27edc,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-uat-brmobile-api:54,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-consul-agent:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:157,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-brmobile-api:24,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:136,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:95,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-brmobile-api:68,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-admin-panel:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:118,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mvno-inhouse-sims:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-torchwood:44,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-spiffy:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-utils-api-autotests:20,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-brmvno-next:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mvno-prc:18,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-consul-agent:4,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-brmobile-api:8,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:149,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
